time,open,high,low,close,Volume,Volume MA
1675649700,21275,21282,21251,21258,1613,NaN
1675650000,21259,21284,21240,21240,1826,NaN
1675650300,21243,21268,21235,21261,1225,NaN
1675650600,21262,21322,21259,21319,1555,NaN
1675650900,21321,21345,21299,21301,1808,NaN
1675651200,21299,21310,21250,21251,1102,NaN
1675651500,21251,21261,21228,21257,1569,NaN
1675651800,21255,21255,21191,21202,2294,NaN
1675652100,21202,21234,21195,21214,1814,NaN
1675652400,21213,21243,21191,21224,2672,NaN
1675652700,21221,21226,21175,21188,1512,NaN
1675653000,21188,21190,21147,21150,1739,NaN
1675653300,21148,21184,21141,21160,2022,NaN
1675653600,21161,21164,21124,21152,2110,NaN
1675653900,21152,21178,21143,21176,1424,NaN
1675654200,21176,21195,21170,21192,1201,NaN
1675654500,21192,21210,21189,21205,998,NaN
1675654800,21205,21217,21198,21201,909,NaN
1675655100,21200,21227,21198,21218,895,NaN
1675655400,21217,21229,21197,21199,656,NaN
1675655700,21200,21209,21196,21205,560,NaN
1675659600,21202,21209,21154,21172,2603,NaN
1675659900,21175,21206,21160,21203,1196,NaN
1675660200,21202,21219,21181,21189,863,NaN
1675660500,21190,21193,21151,21157,840,NaN
1675660800,21158,21180,21143,21152,1139,NaN
1675661100,21151,21160,21132,21160,1158,NaN
1675661400,21158,21161,21131,21144,924,NaN
1675661700,21145,21211,21143,21211,1403,NaN
1675662000,21211,21281,21210,21259,2294,NaN
1675662300,21258,21306,21247,21289,2133,NaN
1675662600,21291,21340,21271,21278,2582,NaN
1675662900,21278,21323,21262,21317,2027,NaN
1675663200,21317,21325,21266,21269,1430,NaN
1675663500,21269,21278,21226,21228,1532,NaN
1675663800,21229,21243,21217,21225,1696,NaN
1675664100,21225,21228,21207,21221,910,NaN
1675664400,21220,21222,21192,21197,950,NaN
1675664700,21197,21221,21191,21220,943,NaN
1675665000,21219,21229,21186,21189,1158,NaN
1675665300,21190,21243,21189,21221,945,NaN
1675665600,21218,21254,21212,21241,886,NaN
1675665900,21241,21256,21228,21235,760,NaN
1675666200,21235,21248,21220,21224,620,NaN
1675666500,21224,21250,21217,21250,708,NaN
1675666800,21248,21265,21230,21248,1019,NaN
1675667100,21245,21275,21241,21274,967,NaN
1675667400,21274,21296,21254,21254,1237,NaN
1675667700,21254,21264,21232,21234,1128,NaN
1675668000,21234,21240,21219,21224,1060,NaN
1675668300,21223,21239,21218,21223,795,NaN
1675668600,21223,21236,21210,21235,853,NaN
1675668900,21236,21241,21222,21231,523,NaN
1675669200,21229,21229,21210,21214,727,NaN
1675669500,21213,21227,21202,21208,1136,NaN
1675669800,21208,21232,21208,21223,1172,NaN
1675670100,21224,21244,21215,21241,1815,NaN
1675670400,21241,21270,21236,21264,2208,NaN
1675670700,21264,21284,21257,21267,2239,NaN
1675671000,21268,21284,21262,21282,866,NaN
1675671300,21283,21294,21278,21291,801,NaN
1675671600,21290,21298,21267,21268,924,NaN
1675671900,21269,21273,21240,21243,870,NaN
1675674900,21225,21233,21215,21226,449,NaN
1675675200,21228,21249,21228,21246,195,NaN
1675675500,21248,21253,21236,21242,94,NaN
1675675800,21242,21254,21234,21237,173,NaN
1675676100,21239,21239,21227,21231,64,NaN
1675676400,21230,21238,21230,21233,58,NaN
1675676700,21231,21238,21229,21234,71,NaN
1675677000,21234,21236,21215,21220,167,NaN
1675677300,21219,21219,21205,21216,159,NaN
1675677600,21217,21222,21184,21195,337,NaN
1675677900,21194,21210,21193,21203,192,NaN
1675678200,21204,21209,21197,21208,71,NaN
1675678500,21209,21217,21204,21213,104,NaN
1675678800,21214,21217,21205,21209,69,NaN
1675679100,21207,21217,21198,21212,138,NaN
1675679400,21212,21215,21206,21206,77,NaN
1675679700,21209,21214,21192,21196,93,NaN
1675680000,21196,21205,21192,21194,58,NaN
1675680300,21194,21208,21194,21196,89,NaN
1675680600,21194,21207,21194,21207,55,NaN
1675680900,21210,21218,21207,21211,51,NaN
1675681200,21211,21213,21201,21205,68,NaN
1675681500,21207,21211,21200,21203,44,NaN
1675681800,21200,21204,21193,21198,67,NaN
1675682100,21199,21202,21196,21197,46,NaN
1675682400,21194,21198,21188,21192,80,NaN
1675682700,21196,21199,21191,21191,74,NaN
1675683000,21191,21195,21190,21191,47,NaN
1675683300,21193,21201,21192,21197,49,NaN
1675683600,21197,21200,21192,21196,32,NaN
1675683900,21199,21206,21195,21206,92,NaN
1675684200,21205,21207,21196,21200,25,NaN
1675684500,21196,21199,21192,21198,51,NaN
1675684800,21198,21204,21194,21197,133,NaN
1675685100,21197,21200,21190,21194,75,NaN
1675685400,21195,21198,21187,21190,103,NaN
1675685700,21192,21195,21186,21187,51,NaN
1675686000,21186,21190,21182,21182,164,NaN
1675686300,21183,21190,21181,21182,187,NaN
1675686600,21182,21186,21175,21185,126,NaN
1675686900,21185,21201,21185,21195,94,NaN
1675687200,21193,21210,21193,21206,114,NaN
1675687500,21206,21209,21201,21204,119,NaN
1675687800,21202,21204,21200,21202,43,NaN
1675688100,21203,21203,21196,21200,29,NaN
1675688400,21200,21205,21192,21194,63,NaN
1675688700,21194,21201,21187,21197,57,NaN
1675689000,21196,21199,21193,21199,34,NaN
1675689300,21196,21199,21191,21197,34,NaN
1675689600,21197,21206,21192,21193,92,NaN
1675689900,21190,21195,21180,21181,119,NaN
1675690200,21181,21186,21170,21171,201,NaN
1675690500,21173,21175,21166,21170,175,NaN
1675690800,21171,21191,21164,21188,196,NaN
1675691100,21187,21193,21173,21176,118,NaN
1675691400,21175,21176,21162,21164,110,NaN
1675691700,21163,21172,21154,21168,155,NaN
1675692000,21164,21169,21159,21166,86,NaN
1675692300,21170,21174,21161,21161,74,NaN
1675692600,21160,21163,21154,21158,60,NaN
1675692900,21158,21168,21149,21165,136,NaN
1675693200,21165,21176,21156,21159,126,NaN
1675693500,21157,21170,21143,21154,166,NaN
1675693800,21152,21226,21133,21191,1674,NaN
1675694100,21193,21195,21112,21139,753,NaN
1675694400,21133,21144,21102,21103,556,NaN
1675694700,21102,21137,21100,21132,360,NaN
1675695000,21129,21178,21088,21100,724,NaN
1675695300,21104,21112,21074,21094,569,NaN
1675695600,21094,21133,21085,21115,521,NaN
1675695900,21118,21134,21103,21129,288,NaN
1675696200,21126,21138,21105,21105,315,NaN
1675696500,21104,21107,21072,21083,332,NaN
1675696800,21083,21092,21076,21078,219,NaN
1675697100,21077,21093,21068,21079,273,NaN
1675697400,21077,21115,21073,21112,346,NaN
1675697700,21108,21131,21108,21109,296,NaN
1675698000,21109,21136,21109,21125,167,NaN
1675698300,21122,21142,21121,21140,168,NaN
1675698600,21139,21179,21138,21173,354,NaN
1675698900,21173,21198,21173,21187,412,NaN
1675699200,21189,21189,21161,21162,356,NaN
1675699500,21162,21225,21162,21182,334,NaN
1675699800,21182,21201,21180,21188,101,NaN
1675700100,21190,21218,21189,21215,139,NaN
1675700400,21211,21265,21211,21265,396,NaN
1675700700,21263,21283,21261,21270,566,NaN
1675701000,21270,21281,21236,21238,283,NaN
1675701300,21234,21239,21215,21217,163,NaN
1675701600,21215,21231,21208,21231,176,NaN
1675701900,21228,21245,21212,21221,201,NaN
1675702200,21223,21236,21217,21217,108,NaN
1675702500,21220,21229,21194,21201,243,NaN
1675702800,21199,21220,21195,21214,147,NaN
1675703100,21215,21229,21213,21224,110,NaN
1675703400,21225,21228,21211,21215,109,NaN
1675703700,21209,21228,21202,21202,30,NaN
1675704000,21204,21229,21202,21229,56,NaN
1675704300,21229,21236,21225,21229,69,NaN
1675704600,21228,21240,21228,21232,41,NaN
1675704900,21232,21247,21231,21241,36,NaN
1675705200,21240,21246,21225,21225,34,NaN
1675705500,21225,21240,21225,21230,62,NaN
1675705800,21230,21235,21225,21228,44,NaN
1675706100,21230,21230,21223,21227,38,NaN
1675706400,21229,21232,21214,21216,63,NaN
1675706700,21216,21230,21216,21229,59,NaN
1675707000,21231,21235,21210,21233,78,NaN
1675707300,21233,21252,21232,21252,99,NaN
1675707600,21251,21267,21251,21258,88,NaN
1675707900,21258,21262,21248,21252,19,NaN
1675708200,21251,21268,21251,21266,95,NaN
1675708500,21267,21276,21267,21273,73,NaN
1675708800,21273,21273,21243,21251,60,NaN
1675709100,21250,21257,21244,21247,84,NaN
1675709400,21248,21264,21248,21263,54,NaN
1675709700,21265,21269,21260,21260,48,NaN
1675732500,21315,21358,21312,21327,2170,NaN
1675732800,21328,21343,21315,21318,863,NaN
1675733100,21321,21353,21320,21346,766,NaN
1675733400,21345,21434,21345,21377,4544,NaN
1675733700,21376,21387,21311,21316,2994,NaN
1675734000,21317,21383,21315,21363,2484,NaN
1675734300,21362,21423,21362,21397,2698,NaN
1675734600,21399,21460,21380,21434,2762,NaN
1675734900,21435,21485,21425,21468,2556,NaN
1675735200,21470,21513,21453,21508,2913,NaN
1675735500,21508,21524,21484,21486,2491,NaN
1675735800,21485,21493,21465,21479,1529,NaN
1675736100,21478,21482,21426,21454,1891,NaN
1675736400,21452,21472,21429,21467,1366,NaN
1675736700,21470,21506,21469,21498,1818,NaN
1675737000,21499,21517,21465,21481,1624,NaN
1675737300,21482,21551,21482,21510,2403,NaN
1675737600,21511,21512,21476,21506,1374,NaN
1675737900,21507,21528,21496,21523,1000,NaN
1675738200,21523,21541,21509,21537,1023,NaN
1675738500,21537,21545,21478,21482,1258,NaN
1675738800,21483,21487,21439,21463,1876,NaN
1675739100,21464,21485,21446,21484,1182,NaN
1675739400,21484,21491,21453,21461,892,NaN
1675739700,21463,21488,21447,21464,837,NaN
1675740000,21465,21515,21446,21514,1235,NaN
1675740300,21513,21546,21504,21523,1709,NaN
1675740600,21524,21547,21506,21519,1161,NaN
1675740900,21519,21521,21499,21502,625,NaN
1675741200,21502,21505,21472,21477,1158,NaN
1675741500,21478,21486,21466,21470,951,NaN
1675741800,21471,21477,21422,21427,1447,NaN
1675742100,21428,21444,21421,21432,704,NaN
1675746000,21420,21427,21382,21410,2052,NaN
1675746300,21411,21433,21393,21427,1001,NaN
1675746600,21428,21432,21399,21411,755,NaN
1675746900,21411,21439,21403,21410,892,NaN
1675747200,21408,21409,21377,21403,1504,NaN
1675747500,21402,21402,21368,21374,1127,NaN
1675747800,21375,21395,21358,21365,1065,NaN
1675748100,21367,21369,21338,21352,1122,NaN
1675748400,21352,21373,21351,21370,966,NaN
1675748700,21371,21372,21333,21341,859,NaN
1675749000,21343,21355,21326,21337,1333,NaN
1675749300,21337,21352,21308,21348,1325,NaN
1675749600,21349,21370,21348,21355,689,NaN
1675749900,21354,21363,21338,21345,452,NaN
1675750200,21346,21376,21342,21365,755,NaN
1675750500,21365,21373,21354,21372,414,NaN
1675750800,21373,21379,21356,21377,965,NaN
1675751100,21376,21382,21349,21353,739,NaN
1675751400,21353,21382,21352,21377,749,NaN
1675751700,21377,21381,21324,21327,877,NaN
1675752000,21327,21349,21320,21345,715,NaN
1675752300,21346,21353,21337,21346,499,NaN
1675752600,21347,21353,21334,21349,453,NaN
1675752900,21347,21351,21328,21331,428,NaN
1675753200,21331,21337,21317,21319,658,NaN
1675753500,21321,21340,21319,21327,519,NaN
1675753800,21326,21326,21303,21324,843,NaN
1675754100,21325,21330,21297,21314,851,NaN
1675754400,21315,21346,21313,21344,526,NaN
1675754700,21343,21351,21334,21345,469,NaN
1675755000,21344,21360,21341,21344,684,NaN
1675755300,21344,21345,21330,21335,554,NaN
1675755600,21335,21345,21322,21341,502,NaN
